file_name,mod_date
fov_summary.ipynb,1752583943.6828988
halloween_smile.ipynb,1747734287.9930446
app_eis_stray_light.ipynb,1745489587.362846
coalign_flowmap.ipynb,1745489402.632919
../aia/aia_coalign_1024_final_rsuncorr.ipynb,1731339517.4739213
eis_spice_doppler.ipynb,1741691320.8884733
hri_spice_evolution.ipynb,1752583652.8330865
hri_zoomin_east.ipynb,1741856790.1936653
hri_zoomin_west.ipynb,1741858611.098164
aia_eui_pfss_1025_with_sot_phi.ipynb,1724686658.3315823
eui_stackplot.ipynb,1741858698.0581305
aia_eui_pfss_1025.ipynb,1741856509.3652415
iris_chase_statistics.ipynb,1745845436.8330026
eis_spice_doppler_vs_tmax.ipynb,1741689266.465386
dem_compare.ipynb,1741694146.179368
spice_spurious_vel.ipynb,1745489550.652826
../spice_psf/ipynb/spice_1024_NeVIII_ms_version.ipynb,1756711985.462023
