CF,xc,yc,tc,projected_area,xwidth,ywidth,height,volume,duration,total_intensity,mean_intensity,max_intensity,xmax,ymax,tmax,variance,xbary,ybary,tbary,barintensity,relative_variance,x_image,y_image,lon_carrington,lat_carrington,corrcoeff,LOSdist,x_shift,y_shift,major_axis,minor_axis,angle
0,105.5,107.0,285.0,23,5,6,nan,97,8,36619,377.5154639175258,609,105,107,283,2426.126606161919,105,107,284,518,6.719649045205613,629.2480187268125,704.2507264604454,151.26506024096386,17.07429718875502,nan,nan,nan,nan,5.8613311316376935,3.882897903721768,0.5868203397410624
1,114.5,84.5,355.5,27,5,7,nan,125,9,45675,365.4,539,114,84,357,1972.959278113397,114,84,356,459,5.639717037283032,638.2032003979882,683.8744409660098,151.3734939759036,16.843373493975903,nan,nan,nan,nan,6.484815998368867,3.8402033106723907,-0.27774686763277184
2,179.0,71.5,107.5,22,6,5,nan,96,11,41659,433.9479166666667,598,177,71,103,2151.402398027811,179,71,105,532,5.364793431789999,698.6390849182651,670.0633004382897,152.13253012048193,16.71285140562249,nan,nan,nan,nan,5.552178461271106,3.9174385400182166,-1.112155703496986
3,53.0,136.0,4.5,37,4,12,nan,174,9,60033,345.01724137931035,502,53,135,3,1695.1571366322542,52,135,3,437,5.15505303188851,579.0080082099762,730.7421166614982,150.63855421686748,17.355421686746986,nan,nan,nan,nan,12.180746526873184,3.7122129733055425,0.010567854031057698
4,30.5,132.5,325.5,36,5,11,nan,139,9,52056,374.50359712230215,611,31,130,321,1782.4777030018004,30,132,323,534,5.08088765522609,557.9452543119055,727.3288843262224,150.3734939759036,17.305220883534137,nan,nan,nan,nan,12.029003416434788,3.9576430358353103,-0.20581213429007306
5,26.0,64.0,317.0,26,6,6,nan,79,6,20957,265.27848101265823,395,26,62,319,1237.4797995870756,26,63,318,293,5.032003170291232,553.8398503258964,668.3887183800341,150.3132530120482,16.622489959839356,nan,nan,nan,nan,7.61515742962602,4.487711536719414,0.8446283590436998
6,30.0,134.0,316.0,35,4,12,nan,99,6,35636,359.95959595959596,554,30,131,318,1639.625680287726,29,132,316,380,4.688358955319145,556.9718478764639,728.2405410170021,150.36144578313252,17.315261044176708,nan,nan,nan,nan,10.83517297087516,2.6135094508905126,-0.12785533293928922
7,104.0,89.5,159.5,37,8,9,nan,187,11,70048,374.5882352941176,513,105,89,154,1634.9074059587424,104,89,157,454,4.606104456593117,629.5089828117161,688.5909762068131,151.26506024096386,16.893574297188756,nan,nan,nan,nan,9.172511401223712,4.344070873522246,-0.769438418914069
8,4.0,108.5,124.0,24,6,9,nan,202,22,61029,302.1237623762376,476,2,109,126,1209.3143796495617,2,108,124,298,4.223071050953904,530.2571622138837,710.3230710361975,150.02409638554218,17.09437751004016,nan,nan,nan,nan,6.539718985047092,3.3844198644430707,-0.4835234966987301
9,25.5,59.0,329.5,50,7,12,nan,207,15,58722,283.6811594202899,489,26,62,322,1130.8260639128923,25,59,327,,4.140502151969472,553.8398503258964,668.3887183800341,150.3132530120482,16.622489959839356,nan,nan,nan,nan,7.155417527999327,4.525483399593904,0.7853981633974484
